kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere
AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507.0
ACH,AC Horsens,Alliance Club Horsens,Horsens Idrætspark),Nordstern Arena Horsens,10495.0
AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000.0
AHF,Aarhus Fremad,Aarhus Fremad,Riisvangen Stadion,Riisvangen Stadion,5000.0
AMA,Fremad Amager,Boldklubben Fremad Amager,Sundby Idrætspark,Sundby Idrætspark,7200.0
B.93,B.93,Boldklubben af 1893,Østerbro Stadion,Østerbro Stadion,4400.0
B1909,B1909,Boldklubben 1909,Gillested Park,Gillested Park,6000.0
B1913,B1913,Boldklubben 1913,Campus Road,Campus Road,2000.0
BKF,BK Frem,Boldklubben Frem af 1886,Valby Idrætspark,Valby Idrætspark,12000.0
BKS,BK Skjold,Boldklubben Skjold,Østerbro Stadion,Østerbro Stadion,4400.0
BRA,Brabrand IF,Brabrand Idrætsforening,Brabrand Stadion,Brabrand Stadion,
BRØ,Brønshøj BK,Brønshøj Boldklub,Tingbjerg Idrætspark,Tingbjerg Idrætspark,3000.0
DAL,Dalum IF,Dalum Idrætsforening,Dalum Stadion,Rema 1000 Park,4000.0
EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442.0
FCF,FC Fredericia,Fodbold Club Fredericia 1991,Monjasa Park,Monjasa Park,10000.0
FCH,FC Helsingør,Football Club Helsingør,Helsingør Stadium,Helsingør Stadium,4500.0
FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300.0
FCV,FC Vestsjælland,Football Club Vestsjælland,Slagelse Stadion,Harboe Arena Slagelse,10000.0
FYN,FC Fyn,Football Club Fyn,Odense Stadion,Nature Energy Park,15761.0
HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000.0
HIF,Hvidovre IF,Hvidovre Idrætsforening,Hvidovre Stadion,Pro Ventilation Arena,12000.0
HIK,HIK Fodbold ,Hellerup Idræts Klub,Gentofte Sportspark,Gentofte Sportspark,4000.0
HJØ,FC Hjørring,Football Club Hjørring,Hjørring Stadion,Nord Energi Arena,10000.0
HOB,Hobro IK,Hobro Idræts Klub,DS Arena,DS Arena,10700.0
HBK,Køge BK,Køge Boldklub,Køge Stadion,Capelli Sport Stadion,3000.0
KFC,Kolding FC,Kolding Fodbold Club,Kolding Stadion,Autocentralen Park,10000.0
LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100.0
MAR,BK Marienlyst,Boldklubben Marienlyst,Marienlystcentret,Marienlystcentret,1200.0
NBK,Næstved BK,Næstved Boldklub,Næstved Stadion,MTM Service Park),10000.0
RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300.0
ROS,FC Roskilde,Football Club Roskilde,Roskilde Idrætspark,Roskilde Idrætspark,6000.0
SDR,SønderjyskE,Sønderjyske Fodbold,Haderslev Fodboldstadion,Sydbank Park,10100.0
SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000.0
SIK,Skive IK,Skive Idræts Klub,Skive Stadion ,Hancock Arena,10000.0
THI,Thisted FC,Thisted Fodbold Club,Lerpytter Stadion,Sparekassen Thy Arena,4000.0
VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060.0
VEN,Vendsyssel FF,Vendsyssel Forenede Fodboldklubber,Hjørring Stadion ,Nord Energi Arena,10000.0
VFF,Viborg FF,Viborg Fodsports Forening,Viborg Stadion,Energi Viborg Arena,10000.0
ØFC,Ølstykke FC,Ølstykke Fodbold Club 1918,Ølstykke Stadion,Ølstykke Stadion,3000.0
HIL,Hillerød Fodbold,Hillerød Fodbold,Hillerød Stadion,Hillerød Stadion,5000.0
AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600.0
BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000.0
FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148.0
FCK,FC København,Football Club København,Parken,Parken,38065.0
OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790.0
HGI,HGI Fodbold,Hillerød Fodbold,Hillerød Stadion,Hillerød Stadion,5000.0
MG & BK,Middelfart BK,Middelfart Boldklub,Middelfart Stadion,Middelfart Sparekasse Stadion,2400.0
