rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
1,1993-08-01,VFF - IFS,3-1,4622,Svend E. Christensen,1993/1994,IFS,3177,C,3193.8888888888887,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
4,1993-08-22,VFF - NBK,5-2,2610,Lars Gerner,1993/1994,NBK,1961.3333333333333,D,3193.8888888888887,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NBK,Næstved BK,Næstved Boldklub,Næstved Stadion,MTM Service Park),10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2
6,1993-09-05,VFF - SIF,0-3,6670,Knud Erik Fisker,1993/1994,SIF,3875.1538461538466,B,3193.8888888888887,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
8,1993-09-19,VFF - BIF,2-2,3924,Arne Hansen,1993/1994,BIF,6615.142857142857,A,3193.8888888888887,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
11,1993-10-10,VFF - LBK,1-1,2026,Svend E. Christensen,1993/1994,LBK,2988.5294117647054,D,3193.8888888888887,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
12,1993-10-17,VFF - AaB,2-2,2980,Kim Milton Nielsen,1993/1994,AaB,4740.379310344828,A,3193.8888888888887,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
14,1993-10-31,VFF - OB,2-3,1995,Knud Erik Fisker,1993/1994,OB,3524.217391304348,C,3193.8888888888887,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
16,1993-11-14,VFF - AGF,2-3,3095,Svend E. Christensen,1993/1994,AGF,4917.59375,A,3193.8888888888887,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
18,1993-11-28,VFF - FCK,2-7,823,Carl Laursen,1993/1994,FCK,5108.321428571429,A,3193.8888888888887,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7
2,1995-08-02,VFF - VB,0-2,2246,Steen Pedersen,1995/1996,VB,3865.8,B,2689,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
