"Rnd","Dato","Kamp","Res","Tilskuere","Dommer","___7","Season","Modstander","mean_tilskuere","kategori","mean_tilskuere_saeson","VFF_mal","Modstander_mal","VFF_mal_kampen_foer"
"1","1993-08-01","VFF - IFS","3 - 1","4622","Svend E. Christensen","","1993/1994","IFS","3177","C","3193.88888888889","3","1",NA
"4","1993-08-22","VFF - NBK","5 - 2","2610","Lars Gerner","","1993/1994","NBK","1961.33333333333","D","3193.88888888889","5","2","3"
"6","1993-09-05","VFF - SIF","0 - 3","6670","Knud Erik Fisker","","1993/1994","SIF","3875.15384615385","B","3193.88888888889","0","3","5"
"8","1993-09-19","VFF - BIF","2 - 2","3924","Arne Hansen","","1993/1994","BIF","6615.14285714286","A","3193.88888888889","2","2","0"
"11","1993-10-10","VFF - LBK","1 - 1","2026","Svend E. Christensen","","1993/1994","LBK","2988.52941176471","D","3193.88888888889","1","1","2"
"12","1993-10-17","VFF - AaB","2 - 2","2980","Kim Milton Nielsen","","1993/1994","AaB","4740.37931034483","A","3193.88888888889","2","2","1"
"14","1993-10-31","VFF - OB","2 - 3","1995","Knud Erik Fisker","","1993/1994","OB","3524.21739130435","C","3193.88888888889","2","3","2"
"16","1993-11-14","VFF - AGF","2 - 3","3095","Svend E. Christensen","","1993/1994","AGF","4917.59375","A","3193.88888888889","2","3","2"
"18","1993-11-28","VFF - FCK","2 - 7","823","Carl Laursen","","1993/1994","FCK","5108.32142857143","A","3193.88888888889","2","7","2"
"2","1995-08-02","VFF - VB","0 - 2","2246","Steen Pedersen","","1995/1996","VB","3865.8","B","2689","0","2","2"
"4","1995-08-13","VFF - LBK","0 - 2","1164","Claus Bo Larsen","","1995/1996","LBK","2988.52941176471","D","2689","0","2","0"
"6","1995-08-27","VFF - AGF","1 - 1","3319","Finn Lambek","","1995/1996","AGF","4917.59375","A","2689","1","1","0"
"8","1995-09-10","VFF - HER","2 - 1","1396","Knud Erik Fisker","","1995/1996","HER","2186.75","D","2689","2","1","1"
"10","1995-09-20","VFF - IFS","3 - 1","1732","J~A,rn West Larsen","","1995/1996","IFS","3177","C","2689","3","1","2"
"11","1995-09-22","VFF - BIF","2 - 2","3942","Finn Lambek","","1995/1996","BIF","6615.14285714286","A","2689","2","2","3"
"13","1995-10-06","VFF - AaB","4 - 0","4923","Steen Pedersen","","1995/1996","AaB","4740.37931034483","A","2689","4","0","2"
"15","1995-10-22","VFF - FCK","2 - 2","2736","Knud Stadsgaard","","1995/1996","FCK","5108.32142857143","A","2689","2","2","4"
"18","1995-11-12","VFF - NBK","4 - 0","1572","J~A,rn West Larsen","","1995/1996","NBK","1961.33333333333","D","2689","4","0","2"
"20","1995-11-26","VFF - SIF","0 - 3","2852","Claus Bo Larsen","","1995/1996","SIF","3875.15384615385","B","2689","0","3","4"
"23","1996-04-04","VFF - LBK","0 - 2","1528","Anders Mosegaard","","1995/1996","LBK","2988.52941176471","D","2689","0","2","0"
"24","1996-04-08","VFF - OB","2 - 1","1887","J~A,rn West Larsen","","1995/1996","OB","3524.21739130435","C","2689","2","1","0"
"26","1996-04-21","VFF - AaB","0 - 2","4328","Peter Mikkelsen","","1995/1996","AaB","4740.37931034483","A","2689","0","2","2"
"29","1996-05-08","VFF - AGF","0 - 0","4852","J~A,rn West Larsen","","1995/1996","AGF","4917.59375","A","2689","0","0","0"
"30","1996-05-12","VFF - NBK","6 - 2","1702","Finn Lambek","","1995/1996","NBK","1961.33333333333","D","2689","6","2","0"
"32","1996-05-23","VFF - SIF","2 - 1","2845","Anders Mosegaard","","1995/1996","SIF","3875.15384615385","B","2689","2","1","6"
"2","1996-07-31","VFF - AaB","0 - 5","3198","Claus Bo Larsen","","1996/1997","AaB","4740.37931034483","A","2747.8125","0","5","2"
"4","1996-08-11","VFF - SIF","3 - 1","2039","Kim Milton Nielsen","","1996/1997","SIF","3875.15384615385","B","2747.8125","3","1","0"
"7","1996-09-08","VFF - AB","1 - 1","1481","Knud Erik Fisker","","1996/1997","AB","2281.75","D","2747.8125","1","1","3"
"9","1996-09-20","VFF - BIF","0 - 1","6273","Kim Milton Nielsen","","1996/1997","BIF","6615.14285714286","A","2747.8125","0","1","1"
"11","1996-10-04","VFF - AGF","2 - 5","4730","Knud Erik Fisker","","1996/1997","AGF","4917.59375","A","2747.8125","2","5","0"
"12","1996-10-13","VFF - HIF","1 - 1","1463","Steen Pedersen","","1996/1997","HIF","4336.33333333333","B","2747.8125","1","1","2"
"14","1996-10-27","VFF - LBK","1 - 1","1208","Peter Mikkelsen","","1996/1997","LBK","2988.52941176471","D","2747.8125","1","1","1"
"15","1996-11-03","VFF - HER","2 - 0","1129","Lars Gerner","","1996/1997","HER","2186.75","D","2747.8125","2","0","1"
"17","1996-11-15","VFF - BIF","1 - 1","3831","J~A,rn West Larsen","","1996/1997","BIF","6615.14285714286","A","2747.8125","1","1","2"
"19","1997-03-16","VFF - AB","0 - 1","2147","Finn Lambek","","1996/1997","AB","2281.75","D","2747.8125","0","1","1"
"21","1997-04-06","VFF - FCK","1 - 0","1331","Claus Bo Larsen","","1996/1997","FCK","5108.32142857143","A","2747.8125","1","0","0"
"24","1997-04-25","VFF - OB","3 - 5","2054","Steen Pedersen","","1996/1997","OB","3524.21739130435","C","2747.8125","3","5","1"
"26","1997-05-09","VFF - AaB","1 - 0","3493","Lars Gerner","","1996/1997","AaB","4740.37931034483","A","2747.8125","1","0","3"
"28","1997-05-19","VFF - AGF","0 - 4","5302","Steen Pedersen","","1996/1997","AGF","4917.59375","A","2747.8125","0","4","1"
"31","1997-06-01","VFF - VB","1 - 1","2708","Knud Erik Fisker","","1996/1997","VB","3865.8","B","2747.8125","1","1","0"
