"Rnd","Dato","TV","Kamp","hjemme","ude","Res","Tilskuere","Dommer","Dato_num","dag","måned","år_start","år_slut","år","match_date","sæson","kickoff","holiday_name","is_holiday","weekday_num","dagstype","kickoff_hour","kamp_tid","regn_1h_for","regn_dag","temp_kamp","vind_1h","vindstød_1h","skydække_kamp","regn_1h_kat","regn_dag_kat","temp_kamp_kat","vind_1h_kat","vindstød_1h_kat","skydække_kamp_kat","dato_index"
1,21.07,NA,"VFF - BIF","VFF","BIF","3 - 3",7.658,"Lasse LÃ¦bel Graagaard",21.07,21,7,2024,2025,2024,2024-07-21,"2024/2025",2024-07-21 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,26.0857142857143,3.85,6.45,87.8571428571429,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2024-07-21
4,12.08,NA,"VFF - AaB","VFF","AaB","2 - 3",6.852,"Mads Kristoffersen",12.08,12,8,2024,2025,2024,2024-08-12,"2024/2025",2024-08-12 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,22.1428571428571,1.55,4.6,0,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2024-08-12
6,26.08,NA,"VFF - LBK","VFF","LBK","1 - 0",5.816,"Jakob Kehlet",26.08,26,8,2024,2025,2024,2024-08-26,"2024/2025",2024-08-26 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,18.0428571428571,5.4,8.8,32.8571428571429,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2024-08-26
9,20.09,NA,"VFF - FCN","VFF","FCN","3 - 2",6.29,"Sandi Putros",20.09,20,9,2024,2025,2024,2024-09-20,"2024/2025",2024-09-20 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,18.7428571428571,2.6,4.1,0,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2024-09-20
11,6.1,NA,"VFF - AGF","VFF","AGF","1 - 1",8.351,"Mikkel Redder",6.1,6,10,2024,2025,2024,2024-10-06,"2024/2025",2024-10-06 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,13.3142857142857,3.35,6.45,92.8571428571429,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Overskyet",2024-10-06
13,27.1,NA,"VFF - SJF","VFF","SJF","4 - 2",6.227,"Aydin Uslu",27.1,27,10,2024,2025,2024,2024-10-27,"2024/2025",2024-10-27 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,2,10.6428571428571,6.7,10.55,37.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2024-10-27
15,10.11,NA,"VFF - FCM","VFF","FCM","1 - 0",8.513,"Sandi Putros",10.11,10,11,2024,2025,2024,2024-11-10,"2024/2025",2024-11-10 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0.2,5.21428571428571,1.25,3.1,95.7142857142857,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød","Overskyet",2024-11-10
17,1.12,NA,"VFF - RFC","VFF","RFC","1 - 2",5.681,"Jens Maae",1.12,1,12,2024,2025,2024,2024-12-01,"2024/2025",2024-12-01 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,6.88571428571429,3.35,5.95,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2024-12-01
19,24.02,NA,"VFF - SIF","VFF","SIF","1 - 4",5.208,"Michael Tykgaard",24.02,24,2,2024,2025,2025,2025-02-24,"2024/2025",2025-02-24 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",1,0,7.82857142857143,4.6,8.5,100,"Let regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2025-02-24
20,2.03,NA,"VFF - VB","VFF","VB","3 - 1",5.346,"Mikkel Redder",2.03,2,3,2024,2025,2025,2025-03-02,"2024/2025",2025-03-02 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,9.07142857142857,7.45,12.65,65,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2025-03-02
22,16.03,NA,"VFF - FCK","VFF","FCK","3 - 2",7.75,"Jakob Kehlet",16.03,16,3,2024,2025,2025,2025-03-16,"2024/2025",2025-03-16 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0,0,7.37142857142857,8,13.15,85.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2025-03-16
24,6.04,NA,"VFF - SJF","VFF","SJF","2 - 1",6.265,"Sandi Putros",6.04,6,4,2024,2025,2025,2025-04-06,"2024/2025",2025-04-06 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,9.91428571428571,1.8,6.2,6.42857142857143,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2025-04-06
25,13.04,NA,"VFF - SIF","VFF","SIF","2 - 1",6.002,"Mikkel Redder",13.04,13,4,2024,2025,2025,2025-04-13,"2024/2025",2025-04-13 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,14,4.35,9,91.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2025-04-13
27,21.04,NA,"VFF - LBK","VFF","LBK","1 - 1",5.536,"Mads Kristoffersen",21.04,21,4,2024,2025,2025,2025-04-21,"2024/2025",2025-04-21 14:00:00,"2. Påskedag",TRUE,1,"Hverdag",14,"Eftermiddag",0,0,8.54285714285714,3.6,5.65,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2025-04-21
